Sites,Depth,X Value 1 two_theta,X Value 2 peak_height,X Value 3 peak_width,X Value 4 MgCO3
1003,569.87,29.08,144,0.029728261,-10.72046518
1003,569.87,29.44,3457,0.181899036,1.514165459
1003,569.87,30.73,369,0.170089588,42.97385462
1003,588.54,29.43,3260,0.19306829,1.178402809
1003,588.54,30.71,586,0.1815,42.35797516
1003,599.7,29.4,3919,0.174362869,0.169728441
1003,599.7,30.69,237,0.180269934,41.74128275
1003,609.14,29.44,3844,0.176879842,1.514165459
1003,609.14,30.73,137,0.11582265,42.97385462
1003,619.96,29.45,3721,0.185557229,1.849697431
1003,619.96,30.71,207,0.1415,42.35797516
1003,626.87,29.42,4476,0.168371671,0.842409246
1003,626.87,30.67,213,0.148506098,41.12377582
1003,636.38,29.42,3782,0.18230556,0.842409246
1003,636.38,30.67,222,0.177880184,41.12377582
1003,648.19,29.36,538,0.174868754,-1.178414503
1003,648.19,30.63,2256,0.161018015,39.88631197
1003,649.96,29.47,4109,0.182378591,2.520070283
1003,649.96,30.75,812,0.169369369,43.58892272
1003,650.71,29.41,4173,0.175637394,0.506184536
1003,650.71,30.65,110,0.169043478,40.50545276
1003,657.37,29.44,3721,0.174172636,1.514165459
1003,657.37,30.69,320,0.162298387,41.74128275
1003,665.67,29.41,3612,0.179834161,0.506184536
1003,665.67,30.7,488,0.170899471,42.04973067
1003,685.47,29.43,4032,0.176803313,1.178402809
1003,696.92,29.46,4396,0.170815228,2.184998961
1003,705.64,29.46,4020,0.174516405,2.184998961
1003,705.64,30.73,562,0.170724638,42.97385462
1003,713.34,29.44,4449,0.172119387,1.514165459
1003,713.34,30.74,169,0.185714286,43.28148999
1003,726.16,29.45,3869,0.192674523,1.849697431
1003,726.16,30.68,346,0.152377622,41.4326312
1003,734.11,29.45,4134,0.184886218,1.849697431
1003,734.11,30.7,317,0.156491228,42.04973067
1003,753.22,29.41,3919,0.169765399,0.506184536
1003,753.22,30.09,86,0.027,22.85445499
1003,753.22,30.71,324,0.185411141,42.35797516
1003,757.23,29.4,2673,0.197169394,0.169728441
1003,757.23,30.76,86,0.106666667,43.896153
1003,763.7,29.39,4489,0.170066463,-0.166959273
1003,763.7,30.74,132,0.181282051,43.28148999
1003,774.46,29.39,4830,0.160762913,-0.166959273
1003,774.46,30.71,376,0.16513986,42.35797516
1003,790.45,29.39,4122,0.1639394,-0.166959273
1003,790.45,30.74,102,0.126666667,43.28148999
1003,813.97,29.4,4303,0.163611111,0.169728441
1003,813.97,30.7,376,0.193115547,42.04973067
1003,820.78,29.41,4199,0.162007726,0.506184536
1003,833.58,29.45,3832,0.182903545,1.849697431
1003,833.58,30.74,449,0.174931818,43.28148999
1003,840.84,29.38,2927,0.177746656,-0.503878844
1003,840.84,30.03,104,0.041754386,20.92374575
1003,840.84,30.72,90,0.143166667,42.66601641
1003,850.49,29.41,4679,0.16172927,0.506184536
1003,850.49,30.72,125,0.171688312,42.66601641
1003,859.91,29.39,4343,0.162526557,-0.166959273
1003,870.33,29.37,2820,0.182037066,-0.841030508
1003,879.97,29.01,130,0.0475,-13.13508852
1003,879.97,29.4,4134,0.162918789,0.169728441
1003,879.97,30.73,213,0.16026455,42.97385462
1003,891.81,29.41,4303,0.168425012,0.506184536
1003,891.81,30.7,350,0.161546474,42.04973067
1003,896.29,29.35,4706,0.157607282,-1.516031065
1003,896.29,30.66,130,0.158222222,40.8147164
1003,905.6,29.49,1756,0.190621652,3.189523238
1003,906.26,29.04,139,0.035655172,-12.09880841
1003,906.26,29.4,4679,0.157013431,0.169728441
1003,926.49,29.27,3782,0.171391246,-4.225364589
1003,934.72,29.45,3238,0.197524098,1.849697431
1003,934.72,29.95,123,0.025428571,18.33728693
1003,934.72,30.71,1282,0.154263889,42.35797516
1003,946.2,29.37,2798,0.187654596,-0.841030508
1003,946.2,30.14,86,0.020119048,24.45743587
1003,946.2,30.68,313,0.143352273,41.4326312
1003,966.52,29.39,3782,0.163498992,-0.166959273
1003,966.52,30.14,100,0.022380952,24.45743587
1003,966.52,30.67,1421,0.162205882,41.12377582
1003,973.22,29.48,671,0.203716324,2.85491163
1003,973.22,30.68,2275,0.208543784,41.4326312
1003,982.79,29.38,5112,0.155260523,-0.503878844
1003,992.38,29.4,4543,0.158865728,0.169728441
1003,992.38,30.7,106,0.186935897,42.04973067
1003,1002,29.42,3697,0.176231738,0.842409246
1003,1002,30.26,88,0.031350575,28.28271257
1003,1002,30.65,686,0.147223684,40.50545276
1003,1011.59,29.45,3931,0.186449532,1.849697431
1003,1021.29,29.38,2767,0.177757519,-0.503878844
1003,1021.29,30.67,650,0.170578173,41.12377582
1003,1024.33,29.37,2916,0.179946741,-0.841030508
1003,1024.33,30.09,96,0.020404762,22.85445499
1003,1024.33,30.7,686,0.181621505,42.04973067
1003,1030.89,29.38,3102,0.176719717,-0.503878844
1003,1040.49,29.39,4858,0.147801791,-0.166959273
1003,1040.49,30.73,90,0.101757576,42.97385462
1003,1050.19,29.38,4436,0.160901192,-0.503878844
1003,1060.14,29.41,4942,0.147987638,0.506184536
1003,1060.14,30.69,125,0.146064815,41.74128275
1003,1069.63,29.37,3552,0.160369764,-0.841030508
1003,1069.63,30.69,557,0.14528132,41.74128275
1003,1079.07,29.38,3540,0.164523411,-0.503878844
1003,1079.07,30.78,104,0.149375,44.51000703
1003,1088.69,29.39,5084,0.143953173,-0.166959273
1003,1088.69,30.71,196,0.139641026,42.35797516
1003,1098.11,29.41,4830,0.145459841,0.506184536
1003,1107.87,29.4,4277,0.167794303,0.169728441
1003,1127.23,29.4,4733,0.150795216,0.169728441
1003,1127.23,30.68,213,0.190168269,41.4326312
1003,1136.83,29.4,4186,0.166385106,0.169728441
1003,1136.83,30.74,159,0.171701389,43.28148999
1003,1146.45,29.37,3540,0.166568474,-0.841030508
1003,1146.45,30.72,159,0.146666667,42.66601641
1003,1156.39,29.41,4134,0.170110055,0.506184536
1003,1156.39,30.68,185,0.166792763,41.4326312
1003,1165.88,29.45,3648,0.190364926,1.849697431
1003,1165.88,30.71,262,0.156590909,42.35797516
1003,1175.3,29.39,3758,0.171604096,-0.166959273
1003,1175.3,30.7,458,0.194038462,42.04973067
1003,1185.04,29.37,4020,0.172138371,-0.841030508
1003,1185.04,29.91,94,0.020752508,17.03880618
1003,1185.04,30.68,164,0.092189189,41.4326312
1003,1188.25,29.4,3341,0.188939052,0.169728441
1003,1188.25,30.7,320,0.17005,42.04973067
1003,1194.65,29.44,2061,0.184776909,1.514165459
1003,1194.65,29.77,159,0.025,12.46631338
1003,1194.65,30.7,3226,0.163781622,42.04973067
1003,1204.23,29.37,3376,0.170472721,-0.841030508
1003,1204.23,30.03,100,0.035,20.92374575
1003,1204.23,30.69,324,0.168636364,41.74128275
1003,1213.85,29.4,4886,0.144177318,0.169728441
1003,1213.85,30.73,262,0.156193182,42.97385462
1003,1223.43,29.42,4083,0.17460537,0.842409246
